Date,Leads,Visits
2018-01-01,85080,281190
2018-01-02,90769,307769
2018-01-03,89874,308381
2018-01-04,88722,305694
2018-01-05,87307,296190
2018-01-06,97071,316966
2018-01-07,96825,311625
2018-01-08,89985,309166
2018-01-09,87201,300064
2018-01-10,92002,343219
2018-01-11,89672,338305
2018-01-12,90930,328146
2018-01-13,99628,340616
2018-01-14,111105,377823
2018-01-15,124014,505862
2018-01-16,110751,466592
2018-01-17,104628,381605
2018-01-18,94934,353175
2018-01-19,99283,348003
2018-01-20,111356,371402
2018-01-21,115934,377348
2018-01-22,98158,361955
2018-01-23,103946,367040
2018-01-24,102493,354857
2018-01-25,101268,376413
2018-01-26,102996,383248
2018-01-27,115248,396099
2018-01-28,116805,382788
2018-01-29,107779,416023
2018-01-30,103774,409330
2018-01-31,95069,353334
2018-02-01,93427,329441
2018-02-02,91750,319691
2018-02-03,86115,340196
2018-02-04,121935,518335
2018-02-05,124548,511488
2018-02-06,109787,423954
2018-02-07,110436,369749
2018-02-08,109121,370273
2018-02-09,112957,380207
2018-02-10,123531,396318
2018-02-11,124906,396399
2018-02-12,110419,372285
2018-02-13,104471,374287
2018-02-14,100661,362077
2018-02-15,105233,403601
2018-02-16,120244,431403
2018-02-17,140207,441452
2018-02-18,130374,418041
2018-02-19,116049,406014
2018-02-20,111254,393304
2018-02-21,127036,422935
2018-02-22,115851,414491
2018-02-23,119505,428560
2018-02-24,143107,456714
2018-02-25,137400,451452
2018-02-26,126113,440389
2018-02-27,116482,414808
2018-02-28,93896,360712
2018-03-01,101042,351368
2018-03-02,94672,353901
2018-03-03,103222,373390
2018-03-04,108553,378107
2018-03-05,107237,408292
2018-03-06,103628,389694
2018-03-07,105215,392134
2018-03-08,116611,465419
2018-03-09,109927,419646
2018-03-10,116889,438161
2018-03-11,116604,439613
2018-03-12,123895,499476
2018-03-13,123275,444377
2018-03-14,113405,446464
2018-03-15,117267,446699
2018-03-16,119002,457633
2018-03-17,123633,459291
2018-03-18,129615,483435
2018-03-19,123959,464253
2018-03-20,115312,451844
2018-03-21,115618,457677
2018-03-22,122132,492423
2018-03-23,125163,496505
2018-03-24,130090,509630
2018-03-25,129842,474981
2018-03-26,127596,493048
2018-03-27,134244,493695
2018-03-28,116994,458124
2018-03-29,113491,459329
2018-03-30,114271,486414
2018-03-31,106286,423265
2018-04-01,104989,400444
2018-04-02,105770,408179
2018-04-03,104476,405311
2018-04-04,103555,394688
2018-04-05,100450,390446
2018-04-06,107091,442766
2018-04-07,115860,427682
2018-04-08,109307,418910
2018-04-09,115164,428452
2018-04-10,113617,421435
2018-04-11,115538,430351
2018-04-12,138426,466689
2018-04-13,137814,466235
2018-04-14,122317,446294
2018-04-15,126759,456399
2018-04-16,114327,440091
2018-04-17,110213,429485
2018-04-18,115595,440582
2018-04-19,119863,450354
2018-04-20,119585,455821
2018-04-21,126988,468475
2018-04-22,130645,476061
2018-04-23,138497,505272
2018-04-24,153773,528398
2018-04-25,148103,526075
2018-04-26,139290,501624
2018-04-27,126324,485443
2018-04-28,127888,487456
2018-04-29,128613,484053
2018-04-30,110032,438380
2018-05-01,99867,389858
2018-05-02,102838,398403
2018-05-03,103654,401729
2018-05-04,102298,400381
2018-05-05,104990,447702
2018-05-06,113934,427401
2018-05-07,109028,422971
2018-05-08,106034,420607
2018-05-09,108461,426793
2018-05-10,113437,442663
2018-05-11,113244,440722
2018-05-12,114007,434396
2018-05-13,116036,451626
2018-05-14,119848,457439
2018-05-15,113150,446042
2018-05-16,111788,438975
2018-05-17,118723,457073
2018-05-18,116623,457852
2018-05-19,119076,457099
2018-05-20,116948,440434
2018-05-21,123051,467769
2018-05-22,129997,482665
2018-05-23,129015,514674
2018-05-24,118966,466857
2018-05-25,112093,434682
2018-05-26,112684,416604
2018-05-27,113615,408613
2018-05-28,118973,424801
2018-05-29,112854,421506
2018-05-30,115364,434910
2018-05-31,101715,364864
2018-06-01,97629,365082
2018-06-02,106219,388343
2018-06-03,114815,399258
2018-06-04,103318,395468
2018-06-05,102660,374490
2018-06-06,101677,412881
2018-06-07,109472,435287
2018-06-08,117373,444130
2018-06-09,121815,443116
2018-06-10,118938,425697
2018-06-11,110544,424374
2018-06-12,108309,408981
2018-06-13,108249,415378
2018-06-14,107098,419214
2018-06-15,101802,400443
2018-06-16,103075,403145
2018-06-17,109665,415757
2018-06-18,110220,431633
2018-06-19,114294,441842
2018-06-20,115208,444113
2018-06-21,122000,448405
2018-06-22,123909,444350
2018-06-23,134227,484290
2018-06-24,137465,474010
2018-06-25,114501,430342
2018-06-26,112615,432838
2018-06-27,113446,454042
2018-06-28,118954,473923
2018-06-29,114417,460868
2018-06-30,115358,444549
2018-07-01,115814,414413
2018-07-02,114025,421763
2018-07-03,105798,388763
2018-07-04,101098,372972
2018-07-05,110116,406176
2018-07-06,109088,404714
2018-07-07,110747,408998
2018-07-08,114845,413070
2018-07-09,111518,406078
2018-07-10,111030,411319
2018-07-11,106956,404240
2018-07-12,108276,413581
2018-07-13,108794,439338
2018-07-14,115702,443239
2018-07-15,119536,438629
2018-07-16,114380,462178
2018-07-17,119416,432276
2018-07-18,118126,432415
2018-07-19,115578,430890
2018-07-20,119820,447323
2018-07-21,125731,460845
2018-07-22,132918,470440
2018-07-23,119939,446722
2018-07-24,122264,473468
2018-07-25,119978,468661
2018-07-26,132741,478707
2018-07-27,135765,469550
2018-07-28,127064,458975
2018-07-29,128782,458126
2018-07-30,120597,446698
2018-07-31,110011,412292
2018-08-01,109189,400351
2018-08-02,108366,404827
2018-08-03,106021,400413
2018-08-04,113634,411430
2018-08-05,114083,412328
2018-08-06,113067,409468
2018-08-07,110314,407608
2018-08-08,112295,421523
2018-08-09,110790,438741
2018-08-10,113546,461193
2018-08-11,123266,449278
2018-08-12,127675,454860
2018-08-13,122903,465061
2018-08-14,117094,443852
2018-08-15,116174,444520
2018-08-16,114628,434786
2018-08-17,113870,432652
2018-08-18,124428,444591
2018-08-19,127548,456766
2018-08-20,123622,454427
2018-08-21,121198,448097
2018-08-22,116282,443686
2018-08-23,119543,444398
2018-08-24,130704,472965
2018-08-25,135611,483496
2018-08-26,132923,468870
2018-08-27,121877,439692
2018-08-28,122072,438901
2018-08-29,117192,441849
2018-08-30,115212,442277
2018-08-31,110617,407893
2018-09-01,121013,451590
2018-09-02,128306,473951
2018-09-03,135429,491226
2018-09-04,111029,434552
2018-09-05,107264,424937
2018-09-06,103040,396388
2018-09-07,104292,383877
2018-09-08,118337,423281
2018-09-09,119795,436923
2018-09-10,113295,417366
2018-09-11,102027,398109
2018-09-12,102556,404643
2018-09-13,104010,425197
2018-09-14,109848,437046
2018-09-15,113246,437067
2018-09-16,121341,445507
2018-09-17,112460,423716
2018-09-18,108382,419727
2018-09-19,102911,418883
2018-09-20,108454,428262
2018-09-21,103526,427110
2018-09-22,118527,457619
2018-09-23,121809,457773
2018-09-24,118025,449589
2018-09-25,111857,424608
2018-09-26,105380,420940
2018-09-27,103187,417694
2018-09-28,102088,438736
2018-09-29,111099,452652
2018-09-30,114062,439874
2018-10-01,105782,423592
2018-10-02,98654,379172
2018-10-03,92702,365669
2018-10-04,93208,364017
2018-10-05,95794,380563
2018-10-06,108009,396885
2018-10-07,116387,415660
2018-10-08,115970,415349
2018-10-09,105104,388956
2018-10-10,117239,411069
2018-10-11,114400,428835
