date,Category,visits,testdrive,leads,total_spend_nobrand_nodig,total_spend_nobrand
01/01/18,Cat1,7764,2589,349,0,0
01/01/18,Cat2,5086,1969,381,0,0
01/01/18,Cat3,5774,1501,464,16017.84536,55314.49603
01/01/18,Cat4,4529,1522,310,26539.06428,51989.46195
01/01/18,Cat5,12960,4557,712,224568.2125,270559.7522
01/01/18,Cat6,554,213,11,0,352.1716
01/01/18,Cat7,5692,2838,371,27672.83392,44188.3495
01/01/18,Cat8,10480.32204,3378.541645,811,107699.0411,187330.8362
01/01/18,Cat9,776,194,36,0,3684.606827
01/01/18,Cat10,354,90,6,0,0
01/01/18,Cat11,19594,7968,708,2120.264286,22366.37892
02/01/18,Cat1,8217,2714,438,0,0
02/01/18,Cat2,5752,2160,463,0,0
02/01/18,Cat3,9061,1532,500,16017.84536,55314.49603
02/01/18,Cat4,5066,1726,349,26539.06428,51989.46195
02/01/18,Cat5,13430,4618,818,224568.2125,270559.7522
02/01/18,Cat6,651,232,16,0,352.1716
02/01/18,Cat7,5929,2851,455,27672.83392,44188.3495
02/01/18,Cat8,10480.32204,3378.541645,885,107699.0411,187330.8362
02/01/18,Cat9,970,254,43,0,3684.606827
02/01/18,Cat10,463,102,12,0,0
02/01/18,Cat11,19819,8303,863,2120.264286,22366.37892
03/01/18,Cat1,8675,2808,380,0,0
03/01/18,Cat2,5953,2174,424,0,0
03/01/18,Cat3,7739,1641,396,16017.84536,55314.49603
03/01/18,Cat4,5212,1711,341,26539.06428,51989.46195
03/01/18,Cat5,13574,4784,671,224568.2125,270559.7522
03/01/18,Cat6,699,273,13,0,352.1716
03/01/18,Cat7,6200,2894,390,27672.83392,44188.3495
03/01/18,Cat8,10480.32204,3378.541645,693,107699.0411,187330.8362
03/01/18,Cat9,1037,261,36,0,3684.606827
03/01/18,Cat10,417,104,11,0,0
03/01/18,Cat11,20365,8380,813,2120.264286,22366.37892
04/01/18,Cat1,8896,2814,376,0,0
04/01/18,Cat2,5848,2219,442,0,0
04/01/18,Cat3,8109,1678,461,16017.84536,55314.49603
04/01/18,Cat4,5395,1737,342,26539.06428,51989.46195
04/01/18,Cat5,14253,4762,699,224568.2125,270559.7522
04/01/18,Cat6,703,254,13,0,352.1716
04/01/18,Cat7,6140,2848,427,27672.83392,44188.3495
04/01/18,Cat8,10480.32204,3378.541645,675,107699.0411,187330.8362
04/01/18,Cat9,1001,227,41,0,3684.606827
04/01/18,Cat10,438,100,9,0,0
04/01/18,Cat11,21295,8667,783,2120.264286,22366.37892
05/01/18,Cat1,8593,2651,335,0,0
05/01/18,Cat2,5591,2042,383,0,0
05/01/18,Cat3,8665,1660,417,16017.84536,55314.49603
05/01/18,Cat4,5324,1716,346,26539.06428,51989.46195
05/01/18,Cat5,13561,4703,709,224568.2125,270559.7522
05/01/18,Cat6,695,254,18,0,352.1716
05/01/18,Cat7,5892,2820,372,27672.83392,44188.3495
05/01/18,Cat8,10480.32204,3378.541645,670,107699.0411,187330.8362
05/01/18,Cat9,981,254,46,0,3684.606827
05/01/18,Cat10,424,108,23,0,0
05/01/18,Cat11,20007,8291,793,2120.264286,22366.37892
06/01/18,Cat1,9367,2954,354,0,0
06/01/18,Cat2,5776,2126,345,0,0
06/01/18,Cat3,9126,2005,458,16017.84536,55314.49603
06/01/18,Cat4,5644,1908,337,26539.06428,51989.46195
06/01/18,Cat5,16038,5926,666,224568.2125,270559.7522
06/01/18,Cat6,612,233,9,0,352.1716
06/01/18,Cat7,6239,3102,398,27672.83392,44188.3495
06/01/18,Cat8,10480.32204,3497,686,107699.0411,187330.8362
06/01/18,Cat9,864,242,34,0,3684.606827
06/01/18,Cat10,380,101,23,0,0
06/01/18,Cat11,22145,9201,796,2120.264286,22366.37892
07/01/18,Cat1,8939,2837,334,0,0
07/01/18,Cat2,5738,2183,366,0,0
