date,leads_actual,leads_forecast,Nameplate
2018-01-01,349.0,,Cat1
2018-02-01,438.0,,Cat1
2018-03-01,380.0,,Cat1
2018-04-01,376.0,,Cat1
2018-05-01,335.0,,Cat1
2018-06-01,354.0,,Cat1
2018-07-01,334.0,,Cat1
2018-08-01,324.0,,Cat1
2018-09-01,346.0,,Cat1
2018-10-01,406.0,,Cat1
2018-11-01,366.0,,Cat1
2018-12-01,361.0,,Cat1
2018-01-13,351.0,,Cat1
2018-01-14,402.0,,Cat1
2018-01-15,374.0,,Cat1
2018-01-16,375.0,,Cat1
2018-01-17,416.0,,Cat1
2018-01-18,410.0,,Cat1
2018-01-19,372.0,,Cat1
2018-01-20,380.0,,Cat1
2018-01-21,384.0,,Cat1
2018-01-22,395.0,,Cat1
2018-01-23,401.0,,Cat1
2018-01-24,365.0,,Cat1
2018-01-25,404.0,,Cat1
2018-01-26,405.0,,Cat1
2018-01-27,449.0,,Cat1
2018-01-28,405.0,,Cat1
2018-01-29,407.0,,Cat1
2018-01-30,381.0,,Cat1
2018-01-31,451.0,,Cat1
2018-01-02,381.0,,Cat1
2018-02-02,364.0,,Cat1
2018-03-02,381.0,,Cat1
2018-04-02,294.0,,Cat1
2018-05-02,366.0,,Cat1
2018-06-02,402.0,,Cat1
2018-07-02,451.0,,Cat1
2018-08-02,414.0,,Cat1
2018-09-02,419.0,,Cat1
2018-10-02,420.0,,Cat1
2018-11-02,417.0,,Cat1
2018-12-02,406.0,,Cat1
2018-02-13,414.0,,Cat1
2018-02-14,362.0,,Cat1
2018-02-15,414.0,,Cat1
2018-02-16,448.0,,Cat1
2018-02-17,405.0,,Cat1
2018-02-18,449.0,,Cat1
2018-02-19,474.0,,Cat1
2018-02-20,490.0,,Cat1
2018-02-21,458.0,,Cat1
2018-02-22,501.0,,Cat1
2018-02-23,434.0,,Cat1
2018-02-24,465.0,,Cat1
2018-02-25,413.0,,Cat1
2018-02-26,452.0,,Cat1
2018-02-27,495.0,,Cat1
2018-02-28,456.0,,Cat1
2018-01-03,485.0,,Cat1
2018-02-03,429.0,,Cat1
2018-03-03,401.0,,Cat1
2018-04-03,402.0,,Cat1
2018-05-03,492.0,,Cat1
2018-06-03,458.0,,Cat1
2018-07-03,431.0,,Cat1
2018-08-03,454.0,,Cat1
2018-09-03,430.0,,Cat1
2018-10-03,474.0,,Cat1
2018-11-03,418.0,,Cat1
2018-12-03,477.0,,Cat1
2018-03-13,517.0,,Cat1
2018-03-14,422.0,,Cat1
2018-03-15,437.0,,Cat1
2018-03-16,491.0,,Cat1
2018-03-17,477.0,,Cat1
2018-03-18,437.0,,Cat1
2018-03-19,555.0,,Cat1
2018-03-20,422.0,,Cat1
2018-03-21,419.0,,Cat1
2018-03-22,445.0,,Cat1
2018-03-23,487.0,,Cat1
2018-03-24,504.0,,Cat1
2018-03-25,463.0,,Cat1
2018-03-26,466.0,,Cat1
2018-03-27,457.0,,Cat1
2018-03-28,434.0,,Cat1
2018-03-29,453.0,,Cat1
2018-03-30,437.0,,Cat1
2018-03-31,416.0,,Cat1
2018-01-04,413.0,,Cat1
2018-02-04,453.0,,Cat1
2018-03-04,447.0,,Cat1
2018-04-04,496.0,,Cat1
2018-05-04,466.0,,Cat1
2018-06-04,496.0,,Cat1
2018-07-04,461.0,,Cat1
2018-08-04,497.0,,Cat1
2018-09-04,521.0,,Cat1
2018-10-04,512.0,,Cat1
2018-11-04,484.0,,Cat1
2018-12-04,517.0,,Cat1
2018-04-13,527.0,,Cat1
2018-04-14,448.0,,Cat1
2018-04-15,451.0,,Cat1
2018-04-16,549.0,,Cat1
2018-04-17,553.0,,Cat1
2018-04-18,523.0,,Cat1
2018-04-19,484.0,,Cat1
2018-04-20,504.0,,Cat1
2018-04-21,518.0,,Cat1
2018-04-22,534.0,,Cat1
2018-04-23,531.0,,Cat1
2018-04-24,512.0,,Cat1
2018-04-25,496.0,,Cat1
2018-04-26,493.0,,Cat1
2018-04-27,436.0,,Cat1
2018-04-28,433.0,,Cat1
2018-04-29,455.0,,Cat1
2018-04-30,580.0,,Cat1
2018-01-05,410.0,,Cat1
2018-02-05,460.0,,Cat1
2018-03-05,489.0,,Cat1
2018-04-05,466.0,,Cat1
2018-05-05,440.0,,Cat1
2018-06-05,432.0,,Cat1
2018-07-05,513.0,,Cat1
2018-08-05,506.0,,Cat1
2018-09-05,505.0,,Cat1
2018-10-05,514.0,,Cat1
2018-11-05,459.0,,Cat1
2018-12-05,512.0,,Cat1
2018-05-13,427.0,,Cat1
2018-05-14,565.0,,Cat1
2018-05-15,560.0,,Cat1
2018-05-16,554.0,,Cat1
2018-05-17,531.0,,Cat1
2018-05-18,540.0,,Cat1
2018-05-19,512.0,,Cat1
2018-05-20,493.0,,Cat1
2018-05-21,566.0,,Cat1
2018-05-22,560.0,,Cat1
2018-05-23,584.0,,Cat1
2018-05-24,551.0,,Cat1
2018-05-25,489.0,,Cat1
2018-05-26,469.0,,Cat1
2018-05-27,469.0,,Cat1
2018-05-28,495.0,,Cat1
2018-05-29,528.0,,Cat1
2018-05-30,518.0,,Cat1
2018-05-31,428.0,,Cat1
2018-01-06,474.0,,Cat1
2018-02-06,459.0,,Cat1
2018-03-06,483.0,,Cat1
2018-04-06,529.0,,Cat1
2018-05-06,536.0,,Cat1
2018-06-06,548.0,,Cat1
2018-07-06,432.0,,Cat1
2018-08-06,453.0,,Cat1
2018-09-06,428.0,,Cat1
2018-10-06,464.0,,Cat1
2018-11-06,502.0,,Cat1
2018-12-06,470.0,,Cat1
2018-06-13,490.0,,Cat1
