date,testdrive_actual,testdrive_forecast,Nameplate
2018-01-01,2589.0,,Cat1
2018-02-01,2714.0,,Cat1
2018-03-01,2808.0,,Cat1
2018-04-01,2814.0,,Cat1
2018-05-01,2651.0,,Cat1
2018-06-01,2954.0,,Cat1
2018-07-01,2837.0,,Cat1
2018-08-01,2670.0,,Cat1
2018-09-01,2796.0,,Cat1
2018-10-01,2770.0,,Cat1
2018-11-01,2937.0,,Cat1
2018-12-01,3004.0,,Cat1
2018-01-13,3054.0,,Cat1
2018-01-14,3119.0,,Cat1
2018-01-15,3330.0,,Cat1
2018-01-16,3368.0,,Cat1
2018-01-17,3240.0,,Cat1
2018-01-18,2829.0,,Cat1
2018-01-19,2982.0,,Cat1
2018-01-20,3368.0,,Cat1
2018-01-21,3455.0,,Cat1
2018-01-22,3216.0,,Cat1
2018-01-23,3969.0,,Cat1
2018-01-24,3837.0,,Cat1
2018-01-25,3713.0,,Cat1
2018-01-26,3547.0,,Cat1
2018-01-27,3754.0,,Cat1
2018-01-28,3976.0,,Cat1
2018-01-29,3676.0,,Cat1
2018-01-30,3403.0,,Cat1
2018-01-31,3357.0,,Cat1
2018-01-02,3405.0,,Cat1
2018-02-02,3521.0,,Cat1
2018-03-02,3048.0,,Cat1
2018-04-02,3521.0,,Cat1
2018-05-02,3360.0,,Cat1
2018-06-02,3405.0,,Cat1
2018-07-02,3666.0,,Cat1
2018-08-02,3331.0,,Cat1
2018-09-02,3309.0,,Cat1
2018-10-02,3415.0,,Cat1
2018-11-02,3598.0,,Cat1
2018-12-02,3299.0,,Cat1
2018-02-13,3396.0,,Cat1
2018-02-14,3120.0,,Cat1
2018-02-15,3766.0,,Cat1
2018-02-16,3791.0,,Cat1
2018-02-17,3606.0,,Cat1
2018-02-18,4119.0,,Cat1
2018-02-19,3717.0,,Cat1
2018-02-20,3545.0,,Cat1
2018-02-21,3384.0,,Cat1
2018-02-22,3453.0,,Cat1
2018-02-23,3412.0,,Cat1
2018-02-24,3616.0,,Cat1
2018-02-25,3936.0,,Cat1
2018-02-26,3592.0,,Cat1
2018-02-27,3421.0,,Cat1
2018-02-28,3239.0,,Cat1
2018-01-03,4706.0,,Cat1
2018-02-03,4397.0,,Cat1
2018-03-03,4647.0,,Cat1
2018-04-03,4838.0,,Cat1
2018-05-03,4847.0,,Cat1
2018-06-03,4721.0,,Cat1
2018-07-03,4711.0,,Cat1
2018-08-03,4784.0,,Cat1
2018-09-03,4781.0,,Cat1
2018-10-03,4849.0,,Cat1
2018-11-03,4824.0,,Cat1
2018-12-03,5045.0,,Cat1
2018-03-13,5001.0,,Cat1
2018-03-14,4665.0,,Cat1
2018-03-15,4577.0,,Cat1
2018-03-16,4642.0,,Cat1
2018-03-17,4856.0,,Cat1
2018-03-18,5386.0,,Cat1
2018-03-19,5337.0,,Cat1
