date,visits_actual,visits_forecast,Nameplate
2018-01-01,7764.0,,Cat1
2018-02-01,8217.0,,Cat1
2018-03-01,8675.0,,Cat1
2018-04-01,8896.0,,Cat1
2018-05-01,8593.0,,Cat1
2018-06-01,9367.0,,Cat1
2018-07-01,8939.0,,Cat1
2018-08-01,9068.0,,Cat1
2018-09-01,8924.0,,Cat1
2018-10-01,8990.0,,Cat1
2018-11-01,9247.0,,Cat1
2018-12-01,9371.0,,Cat1
2018-01-13,8665.0,,Cat1
2018-01-14,9190.0,,Cat1
2018-01-15,9857.0,,Cat1
2018-01-16,10684.0,,Cat1
2018-01-17,9908.0,,Cat1
2018-01-18,9166.0,,Cat1
2018-01-19,9497.0,,Cat1
2018-01-20,10352.0,,Cat1
2018-01-21,9879.0,,Cat1
2018-01-22,9955.0,,Cat1
2018-01-23,13244.0,,Cat1
2018-01-24,12057.0,,Cat1
2018-01-25,11844.0,,Cat1
2018-01-26,11983.0,,Cat1
2018-01-27,11490.0,,Cat1
2018-01-28,11452.0,,Cat1
2018-01-29,11229.0,,Cat1
2018-01-30,11173.0,,Cat1
2018-01-31,10302.0,,Cat1
2018-01-02,10460.0,,Cat1
2018-02-02,11150.0,,Cat1
2018-03-02,11099.0,,Cat1
2018-04-02,10813.0,,Cat1
2018-05-02,10628.0,,Cat1
2018-06-02,10821.0,,Cat1
2018-07-02,10736.0,,Cat1
2018-08-02,10287.0,,Cat1
2018-09-02,10201.0,,Cat1
2018-10-02,9861.0,,Cat1
2018-11-02,10048.0,,Cat1
2018-12-02,10161.0,,Cat1
2018-02-13,10446.0,,Cat1
2018-02-14,9643.0,,Cat1
2018-02-15,11945.0,,Cat1
2018-02-16,11771.0,,Cat1
2018-02-17,10702.0,,Cat1
2018-02-18,11432.0,,Cat1
2018-02-19,10981.0,,Cat1
2018-02-20,10810.0,,Cat1
2018-02-21,11018.0,,Cat1
2018-02-22,10715.0,,Cat1
2018-02-23,10480.0,,Cat1
2018-02-24,10529.0,,Cat1
2018-02-25,11193.0,,Cat1
2018-02-26,11222.0,,Cat1
2018-02-27,10787.0,,Cat1
2018-02-28,10411.0,,Cat1
2018-01-03,14927.0,,Cat1
2018-02-03,14471.0,,Cat1
2018-03-03,14396.0,,Cat1
2018-04-03,14785.0,,Cat1
2018-05-03,15311.0,,Cat1
2018-06-03,15203.0,,Cat1
2018-07-03,14882.0,,Cat1
2018-08-03,15643.0,,Cat1
2018-09-03,15422.0,,Cat1
2018-10-03,15347.0,,Cat1
2018-11-03,14334.0,,Cat1
2018-12-03,15541.0,,Cat1
2018-03-13,15609.0,,Cat1
2018-03-14,14529.0,,Cat1
2018-03-15,14353.0,,Cat1
2018-03-16,14664.0,,Cat1
2018-03-17,14564.0,,Cat1
2018-03-18,16138.0,,Cat1
2018-03-19,16546.0,,Cat1
2018-03-20,15970.0,,Cat1
2018-03-21,15761.0,,Cat1
2018-03-22,15493.0,,Cat1
2018-03-23,17384.0,,Cat1
2018-03-24,15939.0,,Cat1
2018-03-25,16759.0,,Cat1
2018-03-26,17432.0,,Cat1
2018-03-27,16137.0,,Cat1
2018-03-28,16182.0,,Cat1
2018-03-29,16589.0,,Cat1
2018-03-30,16521.0,,Cat1
2018-03-31,15711.0,,Cat1
2018-01-04,15129.0,,Cat1
2018-02-04,16211.0,,Cat1
2018-03-04,15863.0,,Cat1
2018-04-04,14887.0,,Cat1
2018-05-04,15047.0,,Cat1
2018-06-04,15226.0,,Cat1
2018-07-04,14888.0,,Cat1
2018-08-04,15772.0,,Cat1
2018-09-04,18235.0,,Cat1
2018-10-04,17430.0,,Cat1
2018-11-04,16962.0,,Cat1
2018-12-04,16870.0,,Cat1
2018-04-13,16834.0,,Cat1
2018-04-14,16080.0,,Cat1
2018-04-15,16750.0,,Cat1
2018-04-16,17727.0,,Cat1
2018-04-17,18326.0,,Cat1
2018-04-18,18095.0,,Cat1
2018-04-19,17778.0,,Cat1
2018-04-20,16516.0,,Cat1
2018-04-21,15901.0,,Cat1
2018-04-22,16714.0,,Cat1
2018-04-23,17742.0,,Cat1
2018-04-24,16809.0,,Cat1
2018-04-25,17817.0,,Cat1
2018-04-26,17876.0,,Cat1
2018-04-27,16579.0,,Cat1
2018-04-28,15048.0,,Cat1
2018-04-29,15364.0,,Cat1
2018-04-30,16073.0,,Cat1
2018-01-05,14965.0,,Cat1
2018-02-05,15531.0,,Cat1
2018-03-05,15334.0,,Cat1
2018-04-05,15321.0,,Cat1
2018-05-05,14008.0,,Cat1
2018-06-05,14490.0,,Cat1
2018-07-05,16093.0,,Cat1
2018-08-05,15024.0,,Cat1
2018-09-05,15742.0,,Cat1
2018-10-05,15121.0,,Cat1
2018-11-05,14431.0,,Cat1
2018-12-05,13753.0,,Cat1
2018-05-13,14712.0,,Cat1
2018-05-14,15293.0,,Cat1
2018-05-15,14584.0,,Cat1
2018-05-16,14478.0,,Cat1
2018-05-17,14740.0,,Cat1
2018-05-18,14191.0,,Cat1
2018-05-19,13775.0,,Cat1
2018-05-20,14145.0,,Cat1
2018-05-21,15497.0,,Cat1
2018-05-22,15661.0,,Cat1
2018-05-23,13995.0,,Cat1
2018-05-24,14469.0,,Cat1
2018-05-25,15294.0,,Cat1
2018-05-26,13856.0,,Cat1
2018-05-27,13945.0,,Cat1
2018-05-28,13679.0,,Cat1
2018-05-29,14395.0,,Cat1
2018-05-30,14023.0,,Cat1
2018-05-31,13407.0,,Cat1
2018-01-06,12907.0,,Cat1
2018-02-06,12283.0,,Cat1
2018-03-06,13195.0,,Cat1
2018-04-06,12803.0,,Cat1
2018-05-06,12823.0,,Cat1
2018-06-06,12608.0,,Cat1
2018-07-06,12782.0,,Cat1
2018-08-06,12402.0,,Cat1
2018-09-06,12593.0,,Cat1
2018-10-06,12987.0,,Cat1
2018-11-06,12860.0,,Cat1
2018-12-06,12641.0,,Cat1
2018-06-13,12838.0,,Cat1
2018-06-14,12347.0,,Cat1
2018-06-15,12299.0,,Cat1
2018-06-16,12052.0,,Cat1
2018-06-17,12607.0,,Cat1
2018-06-18,12490.0,,Cat1
2018-06-19,12219.0,,Cat1
2018-06-20,12338.0,,Cat1
2018-06-21,12509.0,,Cat1
2018-06-22,12596.0,,Cat1
2018-06-23,13103.0,,Cat1
2018-06-24,12709.0,,Cat1
2018-06-25,12293.0,,Cat1
2018-06-26,12446.0,,Cat1
2018-06-27,12060.0,,Cat1
2018-06-28,21241.0,,Cat1
2018-06-29,20625.0,,Cat1
2018-06-30,17588.0,,Cat1
2018-01-07,16799.0,,Cat1
2018-02-07,16336.0,,Cat1
2018-03-07,14455.0,,Cat1
2018-04-07,13121.0,,Cat1
2018-05-07,13419.0,,Cat1
2018-06-07,13470.0,,Cat1
2018-07-07,13314.0,,Cat1
2018-08-07,13746.0,,Cat1
2018-09-07,14702.0,,Cat1
2018-10-07,14923.0,,Cat1
2018-11-07,14099.0,,Cat1
2018-12-07,14280.0,,Cat1
2018-07-13,14260.0,,Cat1
2018-07-14,14157.0,,Cat1
2018-07-15,13607.0,,Cat1
2018-07-16,13751.0,,Cat1
2018-07-17,13636.0,,Cat1
2018-07-18,13504.0,,Cat1
2018-07-19,15341.0,,Cat1
2018-07-20,15930.0,,Cat1
2018-07-21,15210.0,,Cat1
2018-07-22,15305.0,,Cat1
2018-07-23,14487.0,,Cat1
2018-07-24,13889.0,,Cat1
2018-07-25,13592.0,,Cat1
2018-07-26,13706.0,,Cat1
2018-07-27,13483.0,,Cat1
2018-07-28,13855.0,,Cat1
2018-07-29,13292.0,,Cat1
2018-07-30,13356.0,,Cat1
2018-07-31,13031.0,,Cat1
2018-01-08,12826.0,,Cat1
2018-02-08,12499.0,,Cat1
2018-03-08,13236.0,,Cat1
2018-04-08,13306.0,,Cat1
2018-05-08,14283.0,,Cat1
2018-06-08,13946.0,,Cat1
2018-07-08,13887.0,,Cat1
2018-08-08,16628.0,,Cat1
2018-09-08,14954.0,,Cat1
2018-10-08,14123.0,,Cat1
2018-11-08,14779.0,,Cat1
2018-12-08,14457.0,,Cat1
2018-08-13,13809.0,,Cat1
2018-08-14,13545.0,,Cat1
2018-08-15,13467.0,,Cat1
2018-08-16,13526.0,,Cat1
2018-08-17,14225.0,,Cat1
2018-08-18,13710.0,,Cat1
2018-08-19,13617.0,,Cat1
2018-08-20,13821.0,,Cat1
2018-08-21,13634.0,,Cat1
2018-08-22,13353.0,,Cat1
2018-08-23,13746.0,,Cat1
2018-08-24,13953.0,,Cat1
2018-08-25,13889.0,,Cat1
2018-08-26,14069.0,,Cat1
2018-08-27,13511.0,,Cat1
2018-08-28,13613.0,,Cat1
2018-08-29,13907.0,,Cat1
2018-08-30,13421.0,,Cat1
2018-08-31,12974.0,,Cat1
2018-01-09,13147.0,,Cat1
2018-02-09,13005.0,,Cat1
2018-03-09,13085.0,,Cat1
2018-04-09,12567.0,,Cat1
2018-05-09,12318.0,,Cat1
2018-06-09,12218.0,,Cat1
2018-07-09,11679.0,,Cat1
2018-08-09,11768.0,,Cat1
2018-09-09,12336.0,,Cat1
2018-10-09,12626.0,,Cat1
2018-11-09,12324.0,,Cat1
2018-12-09,12262.0,,Cat1
2018-09-13,12613.0,,Cat1
2018-09-14,12267.0,,Cat1
2018-09-15,12002.0,,Cat1
2018-09-16,12165.0,,Cat1
2018-09-17,12697.0,,Cat1
2018-09-18,13034.0,,Cat1
2018-09-19,13622.0,,Cat1
2018-09-20,13191.0,,Cat1
2018-09-21,13039.0,,Cat1
2018-09-22,12839.0,,Cat1
2018-09-23,13500.0,,Cat1
2018-09-24,13638.0,,Cat1
2018-09-25,13338.0,,Cat1
2018-09-26,13180.0,,Cat1
2018-09-27,13791.0,,Cat1
2018-09-28,14119.0,,Cat1
2018-09-29,13650.0,,Cat1
2018-09-30,13711.0,,Cat1
2018-01-10,13846.0,,Cat1
2018-02-10,13784.0,,Cat1
2018-03-10,13491.0,,Cat1
2018-04-10,13628.0,,Cat1
2018-05-10,12910.0,,Cat1
2018-06-10,12607.0,,Cat1
2018-07-10,12422.0,,Cat1
2018-08-10,13356.0,,Cat1
2018-09-10,13357.0,,Cat1
2018-10-10,13238.0,,Cat1
2018-11-10,13162.0,,Cat1
2018-12-10,12681.0,,Cat1
2018-10-13,11991.0,,Cat1
2018-10-14,12149.0,,Cat1
2018-10-15,12830.0,,Cat1
2018-10-16,12820.0,,Cat1
2018-10-17,13398.0,,Cat1
2018-10-18,15565.0,,Cat1
2018-10-19,15157.0,,Cat1
2018-10-20,13260.0,,Cat1
2018-10-21,12941.0,,Cat1
2018-10-22,14385.0,,Cat1
2018-10-23,14019.0,,Cat1
2018-10-24,13385.0,,Cat1
2018-10-25,13257.0,,Cat1
2018-10-26,12672.0,,Cat1
2018-10-27,11831.0,,Cat1
2018-10-28,12006.0,,Cat1
2018-10-29,14222.0,,Cat1
2018-10-30,14029.0,,Cat1
2018-10-31,13768.0,,Cat1
2018-01-11,14799.0,,Cat1
2018-02-11,15032.0,,Cat1
2018-03-11,13962.0,,Cat1
2018-04-11,14769.0,,Cat1
2018-05-11,15510.0,,Cat1
2018-06-11,14737.0,,Cat1
2018-07-11,14524.0,,Cat1
2018-08-11,14411.0,,Cat1
2018-09-11,13777.0,,Cat1
2018-10-11,12865.0,,Cat1
2018-11-11,13346.0,,Cat1
2018-12-11,14628.0,,Cat1
2018-11-13,13554.0,,Cat1
2018-11-14,13606.0,,Cat1
2018-11-15,13503.0,,Cat1
2018-11-16,12923.0,,Cat1
2018-11-17,12574.0,,Cat1
2018-11-18,13164.0,,Cat1
2018-11-19,13019.0,,Cat1
2018-11-20,12893.0,,Cat1
2018-11-21,11688.0,,Cat1
2018-11-22,12732.0,,Cat1
2018-11-23,11837.0,,Cat1
2018-11-24,12088.0,,Cat1
2018-11-25,12042.0,,Cat1
2018-11-26,12355.0,,Cat1
2018-11-27,14043.0,,Cat1
2018-11-28,13533.0,,Cat1
2018-11-29,13774.0,,Cat1
2018-11-30,12808.0,,Cat1
2018-01-12,11515.0,,Cat1
2018-02-12,11912.0,,Cat1
2018-03-12,12943.0,,Cat1
2018-04-12,13517.0,,Cat1
2018-05-12,12386.0,,Cat1
2018-06-12,12216.0,,Cat1
2018-07-12,11789.0,,Cat1
2018-08-12,11510.0,,Cat1
2018-09-12,12258.0,,Cat1
2018-10-12,12297.0,,Cat1
2018-11-12,12469.0,,Cat1
2018-12-12,12416.0,,Cat1
2018-12-13,12337.0,,Cat1
2018-12-14,11962.0,,Cat1
2018-12-15,11719.0,,Cat1
2018-12-16,11999.0,,Cat1
2018-12-17,12509.0,,Cat1
2018-12-18,11929.0,,Cat1
2018-12-19,11561.0,,Cat1
2018-12-20,11617.0,,Cat1
2018-12-21,11235.0,,Cat1
2018-12-22,11826.0,,Cat1
2018-12-23,11706.0,,Cat1
2018-12-24,11277.0,,Cat1
2018-12-25,10793.0,,Cat1
2018-12-26,11603.0,,Cat1
2018-12-27,12663.0,,Cat1
2018-12-28,12709.0,,Cat1
2018-12-29,12962.0,,Cat1
2018-12-30,12953.0,,Cat1
2018-12-31,11538.0,,Cat1
2019-01-01,11119.0,,Cat1
2019-02-01,12344.0,,Cat1
2019-03-01,12630.0,,Cat1
2019-04-01,12187.0,,Cat1
2019-05-01,12389.0,,Cat1
2019-06-01,12329.0,,Cat1
2019-07-01,12632.0,,Cat1
2019-08-01,12844.0,,Cat1
2019-09-01,12529.0,,Cat1
2019-10-01,12624.0,,Cat1
2019-11-01,12996.0,,Cat1
2019-12-01,12516.0,,Cat1
2019-01-13,12551.0,,Cat1
2019-01-14,14441.0,,Cat1
2019-01-15,14081.0,,Cat1
2019-01-16,13607.0,,Cat1
2019-01-17,13706.0,,Cat1
2019-01-18,15106.0,,Cat1
2019-01-19,15471.0,,Cat1
2019-01-20,14296.0,,Cat1
2019-01-21,13616.0,,Cat1
2019-01-22,13693.0,,Cat1
2019-01-23,13183.0,,Cat1
2019-01-24,13274.0,,Cat1
2019-01-25,12749.0,,Cat1
